Sno,Date,Time,State/UnionTerritory,Confirmed,latitude,longitude
1,30-01-2020,6:00 PM,Kerala,1,10.8505,76.2711
2,31-01-2020,6:00 PM,Kerala,1,10.8505,76.2711
3,01-02-2020,6:00 PM,Kerala,2,10.8505,76.2711
4,02-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
5,03-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
6,04-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
7,05-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
8,06-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
9,07-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
10,08-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
11,09-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
12,10-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
13,11-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
14,12-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
15,13-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
16,14-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
17,15-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
18,16-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
19,17-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
20,18-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
21,19-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
22,20-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
23,21-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
24,22-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
25,23-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
26,24-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
27,25-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
28,26-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
29,27-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
30,28-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
31,29-02-2020,6:00 PM,Kerala,3,10.8505,76.2711
32,01-03-2020,6:00 PM,Kerala,3,10.8505,76.2711
33,02-03-2020,6:00 PM,Telengana,1,18.1124,79.0193
34,02-03-2020,6:00 PM,Kerala,3,10.8505,76.2711
35,02-03-2020,6:00 PM,Delhi,1,28.7041,77.1025
36,03-03-2020,6:00 PM,Telengana,1,18.1124,79.0193
37,03-03-2020,6:00 PM,Rajasthan,1,27.0238,74.2179
38,03-03-2020,6:00 PM,Kerala,3,10.8505,76.2711
39,03-03-2020,6:00 PM,Delhi,1,28.7041,77.1025
40,04-03-2020,6:00 PM,Uttar Pradesh,6,26.8467,80.9462
41,04-03-2020,6:00 PM,Kerala,3,10.8505,76.2711
42,04-03-2020,6:00 PM,Haryana,2,29.0588,76.0856
43,04-03-2020,6:00 PM,Delhi,1,28.7041,77.1025
44,04-03-2020,6:00 PM,Telengana,1,18.1124,79.0193
45,04-03-2020,6:00 PM,Rajasthan,15,27.0238,74.2179
46,05-03-2020,6:00 PM,Delhi,2,28.7041,77.1025
47,05-03-2020,6:00 PM,Haryana,2,29.0588,76.0856
48,05-03-2020,6:00 PM,Kerala,3,10.8505,76.2711
49,05-03-2020,6:00 PM,Rajasthan,15,27.0238,74.2179
50,05-03-2020,6:00 PM,Telengana,1,18.1124,79.0193
51,05-03-2020,6:00 PM,Uttar Pradesh,7,26.8467,80.9462
52,06-03-2020,6:00 PM,Delhi,3,28.7041,77.1025
53,06-03-2020,6:00 PM,Haryana,2,29.0588,76.0856
54,06-03-2020,6:00 PM,Kerala,3,10.8505,76.2711
55,06-03-2020,6:00 PM,Rajasthan,15,27.0238,74.2179
56,06-03-2020,6:00 PM,Uttar Pradesh,7,26.8467,80.9462
57,06-03-2020,6:00 PM,Telengana,1,18.1124,79.0193
58,07-03-2020,6:00 PM,Kerala,3,10.8505,76.2711
59,07-03-2020,6:00 PM,Uttar Pradesh,7,26.8467,80.9462
60,07-03-2020,6:00 PM,Ladakh,2,34.1525,77.577
61,07-03-2020,6:00 PM,Telengana,1,18.1124,79.0193
62,07-03-2020,6:00 PM,Tamil Nadu,1,11.1271,78.6569
63,07-03-2020,6:00 PM,Delhi,3,28.7041,77.1025
64,07-03-2020,6:00 PM,Haryana,2,29.0588,76.0856
65,07-03-2020,6:00 PM,Rajasthan,15,27.0238,74.2179
66,08-03-2020,6:00 PM,Ladakh,2,34.1525,77.577
